station,date,temp_c,wind_speed_kph,visibility_km,weather_code
KATL,2025-03-03 20:52:00,17.8,75.6,16.1,Clear
KATL,2025-03-03 21:00:00,17.8,75.6,16.0,Clear
KATL,2025-03-03 21:52:00,17.2,111.6,16.1,Clear
KATL,2025-03-03 22:52:00,16.7,129.6,16.1,Clear
KATL,2025-03-03 23:52:00,14.4,129.6,16.1,Clear
KATL,2025-03-04 00:00:00,14.0,129.6,16.0,Clear
KATL,2025-03-04 00:52:00,13.3,93.6,16.1,Clear
KATL,2025-03-04 01:52:00,12.2,93.6,16.1,Clear
KATL,2025-03-04 02:52:00,10.6,93.6,16.1,Clear
KATL,2025-03-04 03:00:00,10.6,93.6,16.0,Clear
KATL,2025-03-04 03:52:00,10.0,75.6,16.1,Clear
KATL,2025-03-04 04:52:00,8.9,75.6,16.1,Clear
KATL,2025-03-04 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-04 05:52:00,8.3,75.6,16.1,Clear
KATL,2025-03-04 06:00:00,8.3,75.6,16.0,Clear
KATL,2025-03-04 06:52:00,7.8,111.6,16.1,Clear
KATL,2025-03-04 07:52:00,7.2,111.6,16.1,Clear
KATL,2025-03-04 08:52:00,7.2,111.6,16.1,Clear
KATL,2025-03-04 09:00:00,7.2,111.6,16.0,Clear
KATL,2025-03-04 09:52:00,7.8,129.6,16.1,Clear
KATL,2025-03-04 10:48:00,8.0,129.6,16.1,Clear
KATL,2025-03-04 10:52:00,7.8,129.6,16.1,Clear
KATL,2025-03-04 11:02:00,7.8,129.6,16.1,Clear
KATL,2025-03-04 11:52:00,8.3,183.6,16.1,Clear
KATL,2025-03-04 12:00:00,8.3,183.6,16.0,Clear
KATL,2025-03-04 12:52:00,8.3,183.6,16.1,Clear
KATL,2025-03-04 13:46:00,10.0,165.6,16.1,Clear
KATL,2025-03-04 13:52:00,10.0,147.6,16.1,Clear
KATL,2025-03-04 14:52:00,11.7,183.6,16.1,Clear
KATL,2025-03-04 15:00:00,11.7,183.6,16.0,Clear
KATL,2025-03-04 15:52:00,13.9,165.6,16.1,Clear
KATL,2025-03-04 16:52:00,16.7,183.6,16.1,Clear
KATL,2025-03-04 17:52:00,17.2,223.2,16.1,Clear
KATL,2025-03-04 18:00:00,17.2,223.2,16.0,Clear
KATL,2025-03-04 18:38:00,19.4,316.8,16.1,Clear
KATL,2025-03-04 18:52:00,18.9,259.2,16.1,Clear
KATL,2025-03-04 19:52:00,21.7,241.2,16.1,Clear
KATL,2025-03-04 20:52:00,21.7,295.2,16.1,Clear
KATL,2025-03-04 21:00:00,21.7,295.2,16.0,Clear
KATL,2025-03-04 21:52:00,21.7,295.2,16.1,Clear
KATL,2025-03-04 22:52:00,21.1,352.8,16.1,Clear
KATL,2025-03-04 23:52:00,20.6,295.2,16.1,Clear
KATL,2025-03-05 00:00:00,20.6,295.2,16.0,Clear
KATL,2025-03-05 00:52:00,20.0,259.2,16.1,Clear
KATL,2025-03-05 01:52:00,20.0,259.2,16.1,Clear
KATL,2025-03-05 02:52:00,19.4,295.2,16.1,Clear
KATL,2025-03-05 03:00:00,19.4,295.2,16.0,Clear
KATL,2025-03-05 03:52:00,18.9,295.2,16.1,Clear
KATL,2025-03-05 04:52:00,18.3,352.8,16.1,Clear
KATL,2025-03-05 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-05 05:52:00,16.7,370.8,8.0,Clear
KATL,2025-03-05 06:00:00,16.7,370.8,8.0,Clear
KATL,2025-03-05 06:25:00,16.1,316.8,9.7,Clear
KATL,2025-03-05 06:52:00,16.1,352.8,8.0,Clear
KATL,2025-03-05 07:03:00,15.6,277.2,8.0,Clear
KATL,2025-03-05 07:20:00,15.6,334.8,3.2,Clear
KATL,2025-03-05 07:25:00,15.0,295.2,1.6,Clear
KATL,2025-03-05 07:31:00,15.0,259.2,4.8,Clear
KATL,2025-03-05 07:40:00,14.4,295.2,6.4,Clear
KATL,2025-03-05 07:52:00,13.9,241.2,4.8,Clear
KATL,2025-03-05 08:07:00,12.8,183.6,4.8,Clear
KATL,2025-03-05 08:52:00,11.7,129.6,6.4,Clear
KATL,2025-03-05 09:00:00,11.7,129.6,6.0,Clear
KATL,2025-03-05 09:52:00,11.1,165.6,16.1,Clear
KATL,2025-03-05 10:50:00,11.0,129.6,16.1,Clear
KATL,2025-03-05 10:52:00,10.6,129.6,16.1,Clear
KATL,2025-03-05 11:52:00,10.0,165.6,16.1,Clear
KATL,2025-03-05 12:00:00,10.0,165.6,16.0,Clear
KATL,2025-03-05 12:39:00,10.0,165.6,16.1,Clear
KATL,2025-03-05 12:52:00,10.6,183.6,16.1,Clear
KATL,2025-03-05 12:57:00,10.6,147.6,16.1,Clear
KATL,2025-03-05 13:41:00,11.1,205.2,16.1,Clear
KATL,2025-03-05 13:52:00,11.1,241.2,16.1,Clear
KATL,2025-03-05 14:50:00,12.0,147.6,16.1,Clear
KATL,2025-03-05 14:52:00,11.7,165.6,16.1,Clear
KATL,2025-03-05 15:00:00,11.7,165.6,16.0,Clear
KATL,2025-03-05 15:52:00,12.8,147.6,16.1,Clear
KATL,2025-03-05 16:46:00,13.0,223.2,16.1,Clear
KATL,2025-03-05 16:52:00,13.3,205.2,16.1,Clear
KATL,2025-03-05 17:52:00,13.9,277.2,16.1,Clear
KATL,2025-03-05 18:00:00,13.9,277.2,16.0,Clear
KATL,2025-03-05 18:52:00,13.9,316.8,16.1,Clear
KATL,2025-03-05 19:52:00,12.8,295.2,16.1,Clear
KATL,2025-03-05 20:52:00,11.7,334.8,16.1,Clear
KATL,2025-03-05 21:00:00,11.7,334.8,16.0,Clear
KATL,2025-03-05 21:52:00,11.1,277.2,16.1,Clear
KATL,2025-03-05 22:52:00,9.4,316.8,14.5,Clear
KATL,2025-03-05 23:52:00,7.8,241.2,16.1,Clear
KATL,2025-03-06 00:00:00,7.8,241.2,16.0,Clear
KATL,2025-03-06 00:52:00,7.2,295.2,16.1,Clear
KATL,2025-03-06 01:52:00,5.6,241.2,14.5,Clear
KATL,2025-03-06 02:52:00,6.1,165.6,16.1,Clear
KATL,2025-03-06 03:00:00,6.1,165.6,16.0,Clear
KATL,2025-03-06 03:52:00,5.0,352.8,16.1,Clear
KATL,2025-03-06 04:50:00,5.0,388.8,16.1,Clear
KATL,2025-03-06 04:52:00,5.0,316.8,16.1,Clear
KATL,2025-03-06 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-06 05:52:00,5.0,334.8,16.1,Clear
KATL,2025-03-06 06:00:00,5.0,334.8,16.0,Clear
KATL,2025-03-06 06:48:00,5.0,259.2,16.1,Clear
KATL,2025-03-06 06:52:00,5.0,259.2,16.1,Clear
KATL,2025-03-06 07:52:00,4.4,388.8,16.1,Clear
KATL,2025-03-06 08:52:00,3.9,370.8,16.1,Clear
KATL,2025-03-06 09:00:00,3.9,370.8,16.0,Clear
KATL,2025-03-06 09:52:00,3.3,370.8,16.1,Clear
KATL,2025-03-06 10:52:00,3.3,316.8,16.1,Clear
KATL,2025-03-06 11:52:00,2.8,295.2,16.1,Clear
KATL,2025-03-06 12:00:00,2.8,295.2,16.0,Clear
KATL,2025-03-06 12:52:00,3.3,241.2,16.1,Clear
KATL,2025-03-06 13:52:00,5.0,241.2,16.1,Clear
KATL,2025-03-06 14:52:00,6.7,277.2,16.1,Clear
KATL,2025-03-06 15:00:00,6.7,277.2,16.0,Clear
KATL,2025-03-06 15:52:00,8.3,259.2,16.1,Clear
KATL,2025-03-06 16:52:00,9.4,316.8,16.1,Clear
KATL,2025-03-06 17:52:00,11.1,334.8,16.1,Clear
KATL,2025-03-06 18:00:00,11.1,334.8,16.0,Clear
KATL,2025-03-06 18:52:00,12.2,277.2,16.1,Clear
KATL,2025-03-06 19:52:00,12.8,295.2,16.1,Clear
KATL,2025-03-06 20:52:00,13.3,295.2,16.1,Clear
KATL,2025-03-06 21:00:00,13.3,295.2,16.0,Clear
KATL,2025-03-06 21:52:00,12.8,241.2,16.1,Clear
KATL,2025-03-06 22:52:00,11.7,259.2,16.1,Clear
KATL,2025-03-06 23:52:00,10.0,223.2,16.1,Clear
KATL,2025-03-07 00:00:00,10.0,223.2,16.0,Clear
KATL,2025-03-07 00:52:00,8.9,147.6,16.1,Clear
KATL,2025-03-07 01:52:00,8.3,147.6,16.1,Clear
KATL,2025-03-07 02:52:00,7.8,111.6,16.1,Clear
KATL,2025-03-07 03:00:00,7.8,111.6,16.0,Clear
KATL,2025-03-07 03:52:00,7.2,129.6,16.1,Clear
KATL,2025-03-07 04:52:00,6.1,111.6,16.1,Clear
KATL,2025-03-07 04:59:00,999.9,35996.4,1000.0,Clear
